family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigmmd,5,lin,True,False,False,False,1.0,position,10910,11.28,1034.1,1.2,0.5736299753189087,0.7878789901733398,0.6764709949493408,tvt_quantile/q0.93/w20,0.629778173895821,20.001795974027136,push_t,scale,raw,0.0099
sigvar,1,lin,True,False,False,False,0.0099,position,10910,5.23,479.5,1.2,0.5793629884719849,0.9343429803848267,0.5098040103912354,tvt_quantile/q0.91/w13,0.6734006734006733,2.1827565231318324,push_t,scale,tv_norm,0.0099
sigtc,1,lin,True,False,False,False,0.0099,position,10910,6.16,564.3,1.3,0.607787013053894,0.7424240112304688,0.8725489974021912,ct_quantile/q0.94/w40,0.774212715389186,2.41014810817203,push_t,scale,tv_norm,0.0099
sigmmd,1,lin,True,False,False,False,0.0099,position,10910,23.14,2120.7,2.8,0.5516849756240845,0.2626259922981262,0.8725489974021912,ct_quantile/q0.9/w1,0.5797187561893444,1.4659616093806687,push_t,scale,tv_norm,0.0099
sigvar,2,lin,True,False,False,False,0.0099,position,10910,29.05,2662.5,1.6,0.5723209977149963,0.9040399789810181,0.5196080207824707,tvt_cp_band/q0.9/w30,0.6672113289760349,3.2718130267116665,push_t,scale,tv_norm,0.0099
sigtc,2,lin,True,False,False,False,0.0099,position,10910,6.83,625.6,1.3,0.6093530058860779,0.7373740077018738,0.764706015586853,ct_quantile/q0.91/w11,0.7494553376906318,2.803556232119838,push_t,scale,tv_norm,0.0099
sigmmd,2,lin,True,False,False,False,0.0099,position,10910,12.38,1134.6,1.5,0.5532630085945129,0.6212120056152344,0.7549020051956177,ct_quantile/q0.94/w40,0.599178055060408,2.479287194176488,push_t,scale,tv_norm,0.0099
sigvar,3,lin,True,False,False,False,0.0099,position,10910,13.5,1237.0,1.3,0.5701169967651367,0.7272729873657227,0.6470590233802795,ct_quantile/q0.92/w35,0.6499801940978412,4.669358273711652,push_t,scale,tv_norm,0.0099
sigtc,3,lin,True,False,False,False,0.0099,position,10910,9.17,840.5,1.3,0.608020007610321,0.6919190287590027,0.7941179871559143,ct_quantile/q0.94/w9,0.7339077044959398,3.976748354527906,push_t,scale,tv_norm,0.0099
sigmmd,3,lin,True,False,False,False,0.0099,position,10910,9.58,878.1,1.3,0.5576429963111877,0.47979798913002014,0.7450979948043823,ct_quantile/q0.92/w13,0.6099722717369777,4.232279706044012,push_t,scale,tv_norm,0.0099
sigvar,4,lin,True,False,False,False,0.0099,position,10910,9.77,895.7,1.3,0.5780180096626282,0.8989899754524231,0.549019992351532,tvt_quantile/q0.99/w9,0.6419092889681125,6.265746918493837,push_t,scale,tv_norm,0.0099
sigtc,4,lin,True,False,False,False,0.0099,position,10910,9.96,912.6,1.4,0.6034150123596191,0.7272729873657227,0.764706015586853,ct_quantile/q0.9/w15,0.7251435927906515,5.968200789858938,push_t,scale,tv_norm,0.0099
