family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigmmd,1,lin,True,False,False,False,1.0,position,21200,8.02,378.2,1.7,0.5166450142860413,0.14482800662517548,0.9098039865493774,tvt_cp_band/q0.92/w45,0.26792427315753886,0.756449938546695,sorting,scale,raw,492.855
sigmmd,2,lin,True,False,False,False,1.0,position,21200,6.57,310.1,1.9,0.516077995300293,0.20000000298023224,0.9019610285758972,tvt_cp_band/q0.98/w9,0.2693711967545639,0.7734558990278888,sorting,scale,raw,492.855
sigmmd,3,lin,True,False,False,False,1.0,position,21200,5.82,274.7,1.7,0.5190200209617615,0.2758620083332062,0.8588240146636963,tvt_cp_band/q0.93/w7,0.2639891818796484,0.776137020058321,sorting,scale,raw,492.855
sigmmd,4,lin,True,False,False,False,1.0,position,21200,6.63,312.5,1.8,0.5099830031394958,0.3586210012435913,0.8117650151252747,tvt_cp_band/q0.98/w1,0.2645030425963489,0.7686464017973456,sorting,scale,raw,492.855
sigmmd,5,lin,True,False,False,False,1.0,position,21200,7.22,340.5,1.7,0.5145379900932312,0.10344800353050232,0.9490200281143188,tvt_cp_band/q0.93/w45,0.2648411088573361,0.7774387168349078,sorting,scale,raw,492.855
sigmmd,1,lin,True,False,False,False,492.855,position,21200,6.4,302.0,1.7,0.5087569952011108,0.06896600127220154,0.9960780143737793,ct_quantile/q0.99/w40,0.2685057471264368,0.7693522076794025,sorting,scale,tv_norm,492.855
sigmmd,2,lin,True,False,False,False,492.855,position,21200,5.72,269.8,1.7,0.5095700025558472,0.17241400480270386,0.9686269760131836,tvt_cp_band/q0.94/w15,0.2666666666666666,0.713052712421577,sorting,scale,tv_norm,492.855
sigmmd,3,lin,True,False,False,False,492.855,position,21200,5.28,249.2,1.7,0.5095229744911194,0.17241400480270386,0.9686269760131836,tvt_cp_band/q0.94/w15,0.2664773495605139,0.7019793420015055,sorting,scale,tv_norm,492.855
sigmmd,4,lin,True,False,False,False,492.855,position,21200,7.08,333.8,1.8,0.5089430212974548,0.06896600127220154,0.9960780143737793,ct_quantile/q0.99/w40,0.266369168356998,0.700583966632152,sorting,scale,tv_norm,492.855
sigmmd,5,lin,True,False,False,False,492.855,position,21200,6.85,323.0,1.7,0.5089430212974548,0.06896600127220154,0.9960780143737793,ct_quantile/q0.99/w40,0.26628803245436106,0.7004752847680097,sorting,scale,tv_norm,492.855
