task,mode,family,dim,level,best_TWA,TPR,TNR,auroc,at
stacking,sig,sigmmd,20,2.0,0.6165019869804382,0.9690719842910767,0.7396829724311829,0.5089903452790052,tvt_cp_band/q0.99/w1
push_t,flat,sigvar,48,,0.5725659728050232,0.9242420196533203,0.5980389714241028,0.6689938601703307,tvt_quantile/q0.95/w25
push_t,flat,sigtc,48,,0.6110190153121948,0.8787879943847656,0.6862750053405762,0.7464844523668053,tvt_cp_band/q0.92/w13
push_t,flat,sigmmd,48,,0.5684869885444641,0.8787879943847656,0.6960780024528503,0.5728857199445435,tvt_quantile/q0.96/w35
push_t,disp,sigvar,3,,0.5793629884719849,0.9343429803848267,0.5098040103912354,0.6734006734006733,tvt_quantile/q0.91/w13
push_t,disp,sigtc,3,,0.607787013053894,0.7424240112304688,0.8725489974021912,0.774212715389186,ct_quantile/q0.94/w40
push_t,disp,sigmmd,3,,0.5542110204696655,0.2676770091056824,0.8725489974021912,0.5809566250742721,ct_quantile/q0.9/w1
push_t,sig,sigvar,20,2.0,0.5723209977149963,0.9040399789810181,0.5196080207824707,0.6672113289760349,tvt_cp_band/q0.9/w30
push_t,sig,sigtc,20,2.0,0.6093530058860779,0.7373740077018738,0.764706015586853,0.7494553376906318,ct_quantile/q0.91/w11
push_t,sig,sigmmd,20,2.0,0.554639995098114,0.6414139866828918,0.7450979948043823,0.60051495345613,ct_quantile/q0.93/w40
pretzel,flat,sigvar,48,,0.6065220236778259,0.5,0.800000011920929,0.28,tvt_cp_band/q0.9/w1
pretzel,flat,sigtc,48,,0.7398549914360046,0.8999999761581421,0.6000000238418579,0.6500000000000001,tvt_quantile/q0.9/w30
pretzel,flat,sigmmd,48,,0.5862320065498352,0.4000000059604645,1.0,0.21,ct_quantile/q0.9/w20
pretzel,disp,sigvar,3,,0.6768119931221008,0.800000011920929,0.699999988079071,0.29,tvt_cp_band/q0.9/w3
pretzel,disp,sigtc,3,,0.7043480277061462,1.0,0.6000000238418579,0.25,tvt_cp_band/q0.93/w2
pretzel,disp,sigmmd,3,,0.7355070114135742,0.5,1.0,0.56,ct_quantile/q0.9/w5
pretzel,sig,sigvar,20,2.0,0.6637679934501648,0.800000011920929,0.699999988079071,0.15,tvt_cp_band/q0.9/w1
pretzel,sig,sigtc,20,2.0,0.6717389822006226,1.0,0.6000000238418579,0.26,tvt_cp_band/q0.95/w2
pretzel,sig,sigmmd,20,2.0,0.7318840026855469,0.5,1.0,0.56,ct_quantile/q0.92/w7
push_chair,flat,sigvar,48,,0.830951988697052,1.0,1.0,0.96,tvt_cp_band/q0.9/w11
push_chair,flat,sigtc,48,,0.7785710096359253,1.0,0.8999999761581421,1.0,tvt_cp_band/q0.9/w3
push_chair,flat,sigmmd,48,,0.7857139706611633,1.0,0.800000011920929,1.0,tvt_cp_band/q0.9/w7
push_chair,disp,sigvar,3,,0.8642860054969788,1.0,0.8999999761581421,0.99,ct_quantile/q0.9/w1
push_chair,disp,sigtc,3,,0.8547620177268982,1.0,0.8999999761581421,0.98,ct_quantile/q0.94/w1
push_chair,disp,sigmmd,3,,0.7833330035209656,1.0,0.800000011920929,0.9400000000000001,ct_quantile/q0.94/w9
push_chair,sig,sigvar,20,2.0,0.8404759764671326,0.8999999761581421,1.0,0.97,tvt_cp_band/q0.96/w3
push_chair,sig,sigtc,20,2.0,0.8547620177268982,1.0,0.8999999761581421,0.98,ct_quantile/q0.97/w1
push_chair,sig,sigmmd,20,2.0,0.7833330035209656,1.0,0.800000011920929,0.9400000000000001,ct_quantile/q0.94/w9
