task,method,train_episodes,train_steps,test_episodes,test_steps,fit_s,offline_s,online_ms,TWA,Accuracy,Det. Time,Window,ThresholdStyle,single_step_ms,load,train,fit,score_calibration,score_test,thresholds,metrics,window_calibration,window_test
pretzel,kern_cd_obs_eploo,2,103,20,1144,0.0300229139975271,0.0957943760440684,0.0636814797585716,0.7466665029525756,0.8999999761581421,0.3066665053367615,5,ct_quantile,,0.0002138949930667,0.0,0.0298090190044604,0.0683453220117371,0.1106920809834264,0.1615466669900342,0.2839533329824917,0.0025738599651958,0.0378404681396205
pretzel,kern_cd_obs_eploo,4,205,20,1144,23.468229095014976,23.53164291687426,0.04740159684760411,0.7436957895755768,0.8999999761581421,0.3126085996627807,5,ct_quantile,,0.0002153440145775,0.0,23.4680137510004,0.0720904710178729,0.0821633130253758,0.1941078630043193,0.2863692959945183,0.0086766491585876,0.0279358862317167
pretzel,kern_cd_obs_eploo,6,311,20,1144,0.038687485997797796,0.09209372187615358,0.04631640763840987,0.7478984117507934,0.8999999761581421,0.3042027026414871,1,ct_quantile,,0.0002308849943801,0.0,0.0384566010034177,0.0611771880066953,0.0809000920271501,0.2053477440204005,0.2879902429995127,0.0077709521283395,0.0279141216888092
pretzel,kern_cd_obs_eploo,8,414,20,1144,0.034522692003520095,0.1143294197681824,0.039520701285617736,0.7386231899261475,0.8999999761581421,0.3227537035942077,11,ct_quantile,,0.0002416339993942,0.0,0.0342810580041259,0.0901980799972079,0.073102900001686,0.2102810149954166,0.2879816479980945,0.0103913522325456,0.0278912177309393
pretzel,kern_cd_obs_eploo,10,517,20,1144,0.0456518839637283,0.12397189001785591,0.047718764795031114,0.7427535057067871,0.8999999761581421,0.3144925951957703,9,ct_quantile,,0.0002753149892669,0.0,0.0453765689744614,0.0911095570190809,0.0826478030066937,0.1915371450013481,0.2857638080022298,0.0127895509649533,0.0280575360811781
pretzel,logpzo,2,103,20,1144,9.975392433989327,10.276210528973024,2.9648891959495685,0.5579710006713867,0.6000000238418579,0.1400970071554184,5,ct_quantile,,0.0878259179880842,0.0,9.887566516001243,0.3034219830005895,3.4202273359987885,0.1606264160072896,0.3097550509846769,0.0026038880168925,0.0283940958324819
pretzel,logpzo,4,205,20,1144,7.169207005004864,7.655311253009131,2.411776029679255,0.6221739888191223,0.699999988079071,0.1945653945207595,13,ct_quantile,,0.0634346049919258,0.0,7.105772400012938,0.4912036460009403,2.7870578540023416,0.1671784129866864,0.3104349480126984,0.0050993979966733,0.0279860760492738
pretzel,logpzo,6,311,20,1144,11.244846032990608,11.941840055107605,2.4413299902048777,0.6189854919910431,0.7049999892711639,0.2150364026427269,9,ct_quantile,,0.0725068789906799,0.0,11.172339153999928,0.7050294579821639,2.8214913650008384,0.1820637030177749,0.3099280820169952,0.0080354358651675,0.028609856206458
pretzel,logpzo,8,414,20,1144,16.70961403203546,17.717886763071874,2.432108173967857,0.7057973742485046,0.8500000238418579,0.3204505980014801,3,tvt_cp_band,,0.0757466940267477,0.0,16.633867338008713,1.0184823010058608,2.8101837750000414,0.1853399309911765,0.3022808509995229,0.0102095699694473,0.0278520239808131
pretzel,logpzo,10,517,20,1144,15.449703491991386,16.229640817065956,1.8820257805187297,0.6715941846370697,0.800000011920929,0.2853463947772979,1,tvt_cp_band,,0.1700243199884425,0.0,15.279679172002943,0.7942147770081647,2.1935857350181323,0.2105042980110738,0.530990697996458,0.0142774519335944,0.0405482421047054
pretzel,rnd_a,2,103,20,1144,349.54233259300236,349.7034769009915,1.5806797780680644,0.5847830176353455,0.75,0.3304350078105926,3,tvt_cp_band,,0.0229611390095669,349.51936535999994,6.093992851674557e-06,0.1637533780012745,1.836645358998794,0.1610620440042112,0.3088360170077067,0.002609070012113,0.0283476928889285
pretzel,rnd_a,4,205,20,1144,346.2692617440189,346.5599572600913,1.3709411870584811,0.5694925963878632,0.75,0.6016906142234802,25,ct_quantile,,0.0218723220168612,346.2473844710039,4.950998118147254e-06,0.2957498879986815,1.5961781700025313,0.1668167549942154,0.3090734900033567,0.005054371926235,0.0278214520076289
pretzel,rnd_a,6,311,20,1144,346.884902640013,347.299421982083,1.1777031406152902,0.6378262996673584,0.7600000023841857,0.2980675041675568,1,tvt_cp_band,,0.0206378470174968,346.864259613998,5.178997525945306e-06,0.422266503010178,1.374790857982589,0.1821390640106983,0.3020496039825957,0.0077471609401982,0.0274984651186969
pretzel,rnd_a,8,414,20,1144,345.4734159549989,345.92938049373333,1.5469773156742217,0.6507250070571899,0.800000011920929,0.331723004579544,1,tvt_cp_band,,0.0224502519995439,345.4509604549967,5.248002707958221e-06,0.4658767930231988,1.798254655994242,0.1826434849936049,0.3095854069979395,0.0099122542887926,0.0285126068629324
pretzel,rnd_a,10,517,20,1144,81.03950240500853,81.75967735922313,1.364416576119244,0.6485509872436523,0.800000011920929,0.3365539908409118,1,tvt_cp_band,,0.0223424550204072,81.0171525659971,7.383991032838821e-06,0.7425131399941165,1.6082828160142526,0.5018862200086005,0.4775531019840855,0.0223381857795175,0.0473902529338374
pretzel,rnd_oe,2,103,20,1144,72.16014362801798,72.33985696799937,1.77571552064676,0.5987684071063996,0.8600000143051147,0.5681805193424225,30,ct_quantile,,0.1168585880077444,72.04327839400503,6.646005203947425e-06,0.1822876899968832,2.059484705008799,0.1606376410054508,0.3107409279909916,0.0025743500154931,0.0280661493889056
pretzel,rnd_oe,4,205,20,1144,50.86805878800806,51.13114169007167,1.3903035175065848,0.6847829818725586,0.75,0.2608700096607208,2,tvt_cp_band,,0.117139962996589,50.75091231201077,6.513000698760152e-06,0.2681262739934027,1.6181785769877024,0.1672233080025762,0.3075345389952417,0.005043371929787,0.0276713529601693
pretzel,rnd_oe,6,311,20,1144,294.09508094901685,294.46139676013263,1.1328192691266181,0.6781160056591033,0.8350000202655792,0.3486315011978149,2,tvt_cp_band,,0.1119594110059551,293.98311475801165,6.779999239370227e-06,0.3737183929770253,1.3226746690052096,0.1753158200008329,0.3009235099889338,0.0074025818612426,0.0267294251243583
pretzel,rnd_oe,8,414,20,1144,351.7748431969958,352.5352421881689,1.8185445602233863,0.6500723004341126,0.8200000166893006,0.3618033915758133,4,ct_quantile,,0.1178922269900795,351.6569437189901,7.251015631482005e-06,0.7706758750136942,2.108604227018077,0.1894054279837291,0.3101492139976471,0.0102768838405609,0.0281892501225229
pretzel,rnd_oe,10,517,20,1144,104.24574885304901,104.57075273912051,0.8040570312920856,0.6376085102558136,0.8300000190734863,0.4012561053037643,4,ct_quantile,,0.1278596570191439,104.11788126200554,7.934024324640632e-06,0.3387610249919817,0.9500281199871096,0.2072781510069035,0.3316102740063797,0.0137571389204822,0.0301868761889636
pretzel,rnd_oe_and_entropy,2,103,20,1144,72.21335992199602,72.56017053686082,3.335068074059697,0.6985509991645813,0.949999988079071,0.5587760210037231,15/1,tvt_cp_band,,0.1170638870098628,72.04327839400503,0.053017640981124645,0.3518389030068646,3.870443260995671,0.3188481669931206,5.152943410968874,0.005028288142057099,0.0551253842713776
pretzel,rnd_oe_and_entropy,4,205,20,1144,50.90970636403654,51.49518677711603,2.9635661606977277,0.6108700037002563,0.75,0.556522011756897,20/3,tvt_cp_band,,0.1173372710181865,50.75091231201077,0.04145678100758226,0.5954778569866903,3.445033263968071,0.3370843740121926,5.088061252987245,0.0099974439071956,0.054713576129870406
pretzel,rnd_oe_and_entropy,6,311,20,1144,294.130892390036,294.9802406721865,2.667280360169984,0.733188796043396,0.800000011920929,0.2227050006389618,45/3,tvt_cp_band,,0.11215762401116071,293.98311475801165,0.03562000801321117,0.8640620689839125,3.1048419610015117,0.35367527202470217,5.076345490990207,0.0147137868334538,0.05347322896705
pretzel,rnd_oe_and_entropy,8,414,20,1144,351.812059355987,353.20434976913384,3.407402820011049,0.6732608079910278,0.800000011920929,0.4224636912345886,5/7,tvt_cp_band,,0.1180977909825742,351.6569437189901,0.03701784601435058,1.412128931027837,3.9533455630298704,0.36940010797115963,5.160099466011161,0.0198385178809985,0.0552767369372304
pretzel,rnd_oe_and_entropy,10,517,20,1144,104.35067874903325,105.53801946382737,2.4324321903722277,0.6569565892219543,0.7650000035762787,0.3981883943080902,4/5,tvt_cp_band,,0.12810255101067008,104.11788126200554,0.10469493601704014,1.2142780150170438,2.8417359739833046,0.4110865840048063,5.9313750339788385,0.0269373002229257,0.059033548197476096
pretzel,similarity,2,103,20,1144,0.5615909979969728,0.5699612280004657,0.07100679042221582,0.4992749989032745,0.5,0.0014489999739453,35,tvt_cp_band,,0.0001823299971874,0.0,0.5614086679997854,0.010891153011471,0.1075836569943931,0.1565803439880255,0.2909882050007581,0.0025209230079781,0.0263518887513782
pretzel,similarity,4,205,20,1144,0.8217583519872277,0.8591761590796522,0.07434518269215988,0.6968840777873992,0.7650000035762787,0.1637678995728492,1,tvt_cp_band,,0.0001792940020095,0.0,0.8215790579852182,0.0425322130031418,0.1126383160008117,0.1673728679888881,0.3084811469889246,0.0051144059107173,0.0275874270009808
pretzel,similarity,6,311,20,1144,0.7467219230020419,0.7708180040644949,0.07247369407437632,0.5731880068778992,0.6000000238418579,0.0536229982972145,7,tvt_cp_band,,0.0001806630170904,0.0,0.7465412599849515,0.0317718790029175,0.1098908340209163,0.1761118999856989,0.2990179269982036,0.0076757979404646,0.0269809279998298
